   0.00000000       1.00000000       1.00000000       1.00000000    
   1.00000007E-02   1.00539804       1.00000012       1.00000012    
   2.00000014E-02   1.01078284       1.00000012       1.00000012    
   3.24999988E-02   1.01747537       1.00000012       1.00000012    
   4.00000028E-02   1.01747537       1.00000012       1.00000012    
   5.00000082E-02   1.02281177       1.00000012       1.00000012    
   6.00000136E-02   1.02812767       1.00000012       1.00000012    
   7.00000077E-02   1.03342569       1.00000012       1.00000012    
   8.24999958E-02   1.04001606       1.00000012       1.00000012    
   9.24999863E-02   1.04527676       1.00000012       1.00000012    
  0.102499977       1.05050588       1.00000012       1.00000012    
  0.112499967       1.05571425       1.00000012       1.00000012    
  0.122499958       1.06089759       1.00000000       1.00000000    
  0.132499948       1.06606841      0.999999940      0.999999940    
  0.142499939       1.07120192      0.999999940      0.999999940    
  0.152499929       1.07631743      0.999999940      0.999999940    
  0.162499920       1.08141744      0.999999940      0.999999940    
  0.172499910       1.08649004      0.999999940      0.999999940    
  0.182499900       1.09153771      0.999999940      0.999999940    
  0.192499891       1.09655952      0.999999940      0.999999940    
  0.202499881       1.10156012      0.999999762      0.999999762    
  0.212499872       1.10652697      0.999999762      0.999999762    
  0.222499862       1.11146963      0.999999762      0.999999762    
  0.232499853       1.11638939      0.999999762      0.999999762    
  0.242499843       1.12128544      0.999999762      0.999999762    
  0.252499849       1.12614202      0.999999762      0.999999762    
  0.262499839       1.13096511      0.999999762      0.999999762    
  0.272499830       1.13576400      0.999999762      0.999999762    
  0.282499820       1.14053810      0.999999762      0.999999762    
  0.292499810       1.14528513      0.999999762      0.999999762    
  0.302499801       1.15000021      0.999999762      0.999999762    
  0.312499791       1.15468836      0.999999762      0.999999762    
  0.322499782       1.15934229      0.999999762      0.999999762    
  0.332499772       1.16396618      0.999999762      0.999999762    
  0.342499763       1.16855204      0.999999762      0.999999762    
  0.352499753       1.17311406      0.999999762      0.999999762    
  0.362499744       1.17763984      0.999999762      0.999999762    
  0.372499734       1.18213844      0.999999762      0.999999762    
  0.382499725       1.18660390      0.999999762      0.999999762    
  0.392499715       1.19103992      0.999999762      0.999999762    
  0.402499706       1.19544291      0.999999762      0.999999762    
  0.412499696       1.19981110      0.999999762      0.999999762    
  0.422499686       1.20414138      0.999999762      0.999999762    
  0.432499677       1.20844638      0.999999702      0.999999702    
  0.442499667       1.21271658      0.999999702      0.999999702    
  0.452499658       1.21695304      0.999999702      0.999999702    
  0.462499648       1.22114873      0.999999702      0.999999702    
  0.472499639       1.22531724      0.999999702      0.999999702    
  0.482499629       1.22945261      0.999999642      0.999999642    
  0.492499620       1.23354971      0.999999642      0.999999642    
  0.502499640       1.23761654      0.999999642      0.999999642    
  0.512499630       1.24165130      0.999999642      0.999999642    
  0.522499621       1.24564171      0.999999583      0.999999583    
  0.532499611       1.24960124      0.999999523      0.999999523    
  0.542499602       1.25353074      0.999999523      0.999999523    
  0.552499592       1.25742984      0.999999523      0.999999523    
  0.562499583       1.26128197      0.999999523      0.999999523    
  0.572499573       1.26510906      0.999999523      0.999999523    
  0.582499564       1.26889181      0.999999523      0.999999523    
  0.592499554       1.27265310      0.999999523      0.999999523    
  0.602499545       1.27636909      0.999999523      0.999999523    
  0.612499535       1.28006160      0.999999523      0.999999523    
  0.622499526       1.28370583      0.999999523      0.999999523    
  0.632499516       1.28732777      0.999999523      0.999999523    
  0.642499506       1.29091454      0.999999523      0.999999523    
  0.652499497       1.29446769      0.999999523      0.999999523    
  0.662499487       1.29798484      0.999999523      0.999999523    
  0.672499478       1.30147076      0.999999523      0.999999523    
  0.682499468       1.30492246      0.999999523      0.999999523    
  0.692499459       1.30833733      0.999999523      0.999999523    
  0.702499449       1.31171620      0.999999523      0.999999523    
  0.712499440       1.31505096      0.999999523      0.999999523    
  0.722499430       1.31836295      0.999999523      0.999999523    
  0.732499421       1.32164478      0.999999523      0.999999523    
  0.742499411       1.32488227      0.999999523      0.999999523    
  0.752499402       1.32809329      0.999999523      0.999999523    
  0.762499392       1.33127201      0.999999523      0.999999523    
  0.772499382       1.33441615      0.999999523      0.999999523    
  0.782499373       1.33752882      0.999999523      0.999999523    
  0.792499363       1.34061050      0.999999523      0.999999523    
  0.802499354       1.34365118      0.999999523      0.999999523    
  0.812499344       1.34666646      0.999999523      0.999999523    
  0.822499335       1.34964406      0.999999464      0.999999464    
  0.832499325       1.35259211      0.999999464      0.999999464    
  0.842499316       1.35550666      0.999999464      0.999999464    
  0.852499306       1.35838735      0.999999404      0.999999404    
  0.862499297       1.36123765      0.999999404      0.999999404    
  0.872499287       1.36405194      0.999999344      0.999999344    
  0.882499278       1.36684155      0.999999344      0.999999344    
  0.892499268       1.36959255      0.999999344      0.999999344    
  0.902499259       1.37231421      0.999999344      0.999999344    
  0.912499249       1.37500608      0.999999344      0.999999344    
  0.922499239       1.37766361      0.999999344      0.999999344    
  0.932499230       1.38028395      0.999999344      0.999999344    
  0.942499220       1.38288057      0.999999344      0.999999344    
  0.952499211       1.38544738      0.999999344      0.999999344    
  0.962499201       1.38797867      0.999999344      0.999999344    
  0.972499192       1.39048469      0.999999344      0.999999344    
  0.982499182       1.39296329      0.999999344      0.999999344    
  0.992499173       1.39540517      0.999999344      0.999999344    
   1.00249922       1.39782715      0.999999344      0.999999344    
   1.00999939       1.39782715      0.999999344      0.999999344    
   1.01999962       1.40022111      0.999999344      0.999999344    
   1.02999985       1.40257585      0.999999344      0.999999344    
   1.04000008       1.40491140      0.999999344      0.999999344    
   1.05000031       1.40721238      0.999999344      0.999999344    
